,alternate_names,clean_name,description,name,shortcodes,url
988,"['Heart Emoji', 'Love Heart Emoji', 'Red Heart Emoji']",Heavy Black Heart,"A classic red love heart emoji, used to express love. Despite the name â€œHeavy Black Heartâ€ù, this character appears red on all platforms when displayed with emoji presentation. Not to be confused with the black heart emoji. See the glossary for information on the termÂ black in unicode character names.",âù_ï¸è Heavy Black Heart,[':heart:'],http://emojipedia.org/heavy-black-heart/
989,[],Flags,,"_Ÿ_ŒFlags",[],http://emojipedia.org/flags/
990,['Ice Skating Emoji'],Ice Skate,A single skate used in the sport or recreational activity of ice skating. Shown facing to the left on all platforms.,â›¸ Ice Skate,[],http://emojipedia.org/ice-skate/
991,"['8 Ball Emoji', 'Cue Ball Emoji', 'Magic 8 Ball Emoji', 'Pool Emoji', 'Snooker Emoji']",Billiards,"The game of billiards,Â of which pool is a common version. Played with a cue, and colored balls. This emoji displays the black 8 ball on iOS, which looks similar to the Magic 8-Ball toy.",_Ÿ_± Billiards,[':8ball:'],http://emojipedia.org/billiards/
992,[],Holi,,"_Ÿ•‰Holi",[],http://emojipedia.org/holi/
993,"['^^ Emoji', 'Happy Face Emoji', 'Smile Emoji', 'Smiley Face Emoji']",Smiling Face With Smiling Eyes,"A smiling face, with smiling eyes and rosy cheeks. Showing a true sense of happiness.",_Ÿ˜_ Smiling Face With Smiling Eyes,[':blush:'],http://emojipedia.org/smiling-face-with-smiling-eyes/
994,[],Valentineâ€™s Day,,"_Ÿ’˜Valentineâ€™s Day",[],http://emojipedia.org/valentines-day/
995,[],New Yearâ€™s Eve,,"_Ÿ__New Yearâ€™s Eve",[],http://emojipedia.org/new-years-eve/
996,"['Hovering Man Emoji', 'Walt Jabsco Emoji']",Man in Business Suit Levitating,"A man wearing a suit, hovering above the ground with a shadow displayed beneath him. Generally shown wearing a fedora or similar style of hat.",_Ÿ•´ Man in Business Suit Levitating,[],http://emojipedia.org/man-in-business-suit-levitating/
997,"['Medal Emoji', 'Medallion Emoji', 'Military Decoration Emoji']",Military Medal,AÂ ribbon and medallion generallyÂ awardedÂ to aÂ person in the military for heroic acts.,_Ÿ_– Military Medal,[],http://emojipedia.org/military-medal/
998,[],Halloween,,"_Ÿ_ƒHalloween",[],http://emojipedia.org/halloween/
999,"['Basketball Emoji', 'Orange Ball Emoji']",Basketball and Hoop,"An orange-colored basketball displayed with a hoop.Â Many versions of this emoji omitÂ the hoop,Â and display only the basketball.",_Ÿè€ Basketball and Hoop,[':basketball:'],http://emojipedia.org/basketball-and-hoop/
1000,"['Heart Eyes Emoji', 'Heart Face Emoji']",Smiling Face With Heart-Shaped Eyes,"A face with hearts instead of eyes, or Heart Eyes Emoji as it is generally known.Â Used as an expression of love, for example:Â  â€œI love youâ€ù or â€œI love thisâ€ù.",_Ÿ˜ç Smiling Face With Heart-Shaped Eyes,[':heart_eyes:'],http://emojipedia.org/smiling-face-with-heart-shaped-eyes/
1001,"['Championship Trophy Emoji', 'Winners Trophy Emoji']",Trophy,"A trophy given as an recognition of achievement, usually in sports. The trophy emoji is a gold cup, with a engraving on the bottom detailing the award.",_Ÿè† Trophy,[':trophy:'],http://emojipedia.org/trophy/
1002,"['Football Emoji', 'League Emoji', 'Rugby Emoji', 'Union Emoji']",Rugby Football,The oval-shaped ball used in the game of rugby. Varies slightly in shapeÂ in the two main versions of the game: rugby unionÂ andÂ rugby league.,_Ÿè‰ Rugby Football,[':rugby_football:'],http://emojipedia.org/rugby-football/
1003,"['Cold Emoji', 'Cringe Emoji', 'Freezing Emoji', 'Grimacing Emoji', 'Wince Emoji']",Grinning Face With Smiling Eyes,"A version of theÂ grinning face,Â which looksÂ closers to aÂ grimacing faceÂ on many platforms.",_Ÿ˜Å Grinning Face With Smiling Eyes,[':grin:'],http://emojipedia.org/grinning-face-with-smiling-eyes/
1004,['Dice Emoji'],Game Die,"A six-sided die, used in a range of board and turn-based games. Commonly calledÂ dice which refers to the plural of die. The emoji for the game die from Microsoft and LG shows two dice, whereas most other platforms show a single game die.",_Ÿ__ Game Die,[':game_die:'],http://emojipedia.org/game-die/
1005,[],Winter Olympics,,"_Ÿ_¿Winter Olympics",[],http://emojipedia.org/winter-olympics/
1006,"['Football Emoji', 'Soccer Emoji']",Soccer Ball,"A round, black and white ball used in the game of soccer, which is known as football in much of the world.",â__ Soccer Ball,[':soccer:'],http://emojipedia.org/soccer-ball/
1007,"['Ticket Stub Emoji', 'World Tour TIcket Emoji']",Ticket,"A paper ticket, which may be for a theatre show, sporting event, or other ticketed performance.",_Ÿ_« Ticket,[':ticket:'],http://emojipedia.org/ticket/
1008,"['Golf Emoji', 'Golf Club Emoji']",Golfer,"A person swinging a golf club, attempting to hit a golf ball toward the flag on theÂ green.",_ŸèŒ Golfer,[],http://emojipedia.org/golfer/
1009,[],Olympics,,"_Ÿè_Olympics",[],http://emojipedia.org/olympics/
1010,"['Boat With Paddles Emoji', 'Rowing Emoji']",Rowboat,A small rowboat suitable forÂ a small number of people.Â CouplesÂ or families sometimes hire these as an activity on calm waters.,_Ÿ_£ Rowboat,[':rowboat:'],http://emojipedia.org/rowboat/
1011,"['Snowboard Emoji', 'Snowboarding Emoji']",Snowboarder,A person snowboarding downhill at a ski resort. Wearing clothing designed for cold climates.,_Ÿè‚ Snowboarder,[':snowboarder:'],http://emojipedia.org/snowboarder/
1012,[],Festivus,,"_Ÿ’ªFestivus",[],http://emojipedia.org/festivus/
1013,['Archery Emoji'],Bow and Arrow,A bow and arrow used in the sport of archery. May also be used by cupid.,_Ÿè_ Bow and Arrow,[],http://emojipedia.org/bow-and-arrow/
1014,[],Smileys & People,,"_Ÿ˜ƒSmileys & People",[],http://emojipedia.org/people/
1015,[],Ramadan,,"â˜ªRamadan",[],http://emojipedia.org/ramadan/
1016,[],Control Knobs,"The Control Knobs emoji was approved as part of Unicode 7.0 in 2014.Copy and paste this emoji using the text field below:",_Ÿ_› Control Knobs,[],http://emojipedia.org/control-knobs/
1017,[],Shopping Bags,"Bags usedÂ for itemsÂ purchased while shopping. May contain groceries, clothing, or other consumer items.",_Ÿ›ç Shopping Bags,[],http://emojipedia.org/shopping-bags/
1018,"['Bath Emoji', 'Empty Bathtub Emoji']",Bathtub,"A bathtub (or bath tub), either with or without a shower over the top. Differs from theÂ Bath Emoji, as this is just the bath tub, not a personÂ bathing or â€œhaving a bathâ€ù.",_Ÿ›Å Bathtub,[':bathtub:'],http://emojipedia.org/bathtub/
1019,[],Bellhop Bell,"A bell used to call attention at a reception or other desk. Goes ""ding!"" or ""tink!"" when pressed.",_Ÿ›_ Bellhop Bell,[],http://emojipedia.org/bellhop-bell/
1020,"['Price Tag Emoji', 'Tag Emoji']",Bookmark,"A bookmark, used to keep track of the last page you read in a book. Not to be confused with the label emoji.",_Ÿ”– Bookmark,[':bookmark:'],http://emojipedia.org/bookmark/
1021,"['Â¥1000 Note Emoji', 'Yen Note Emoji']",Banknote With Yen Sign,A yen banknote from Japan.,_Ÿ’´ Banknote With Yen Sign,[':yen:'],http://emojipedia.org/banknote-with-yen-sign/
1022,[],Card Index Dividers,A set of dividers for index cards or folders.,_Ÿ—‚ Card Index Dividers,[],http://emojipedia.org/card-index-dividers/
1023,[],Winter,,"â›„Winter",[],http://emojipedia.org/winter/
1024,['Knife Weapon Emoji'],Dagger Knife,"A sharp andÂ pointedÂ knife used for stabbing, generally as a weapon. Looks similar to a sword, but much smaller and can be held easily in one hand. Not to be confused with the hocho (kitchen knife).",_Ÿ—¡ Dagger Knife,[],http://emojipedia.org/dagger-knife/
1025,"['Alarm Emoji', 'Clock Emoji']",Alarm Clock,A small clock withÂ two bells to scare a person awake at a pre-set time.,âè° Alarm Clock,[':alarm_clock:'],http://emojipedia.org/alarm-clock/
1026,['Bedroom Emoji'],Bed,"A comfortable bed, shown with bedposts and a headboard.Â May be found in a household bedroom, a hotel, or other form of sleeping accommodation.",_Ÿ›è Bed,[],http://emojipedia.org/bed/
1027,['Confetti Emoji'],Confetti Ball,"Confetti Ball emoji: a ball containing confetti, burst open at celebrations such as New Yearâ€™s Eve or a Wedding in a celebratory manner.",_Ÿ__ Confetti Ball,[':confetti_ball:'],http://emojipedia.org/confetti-ball/
1028,['Clippy Emoji'],Paperclip,"A paperclip can be used forÂ holding multiple pieces of paper together, or ejecting SIM cards fromÂ mobile phones. Also known for being Clippy in Microsoft Office.",_Ÿ“_ Paperclip,[':paperclip:'],http://emojipedia.org/paperclip/
1029,['Scales of Justice Emoji'],Scales,"Balance scales which are commonly used in reference to the scales held by Lady Justice, representing the weighing of evidence.",â_– Scales,[],http://emojipedia.org/scales/
1030,"['Box Emoji', 'Parcel Emoji']",Package,"A parcel or package being delivered, containing the goods of an online order.",_Ÿ“_ Package,[':package:'],http://emojipedia.org/package/
1031,['Lock And Key Emoji'],Closed Lock With Key,"A locked (closed)Â padlock,Â with a key shown next to it.",_Ÿ”ê Closed Lock With Key,[':closed_lock_with_key:'],http://emojipedia.org/closed-lock-with-key/
1032,"['Film Camera Emoji', 'Hollywood Emoji', 'Movie Emoji']",Movie Camera,"A classic reel-to-reel film camera, used as a symbol for movies or films in general. May also be used in relation to the Emoji Movie.",_Ÿ_¥ Movie Camera,[':movie_camera:'],http://emojipedia.org/movie-camera/
1033,"['Asian Lantern Emoji', 'Japanese Lantern Emoji', 'Red Lantern Emoji']",Izakaya Lantern,A red lantern hung outside anÂ izakaya in Japan: a type of bar that also hasÂ small meals available. Suitable for a casual evening to eat and/or drink.,_Ÿè® Izakaya Lantern,"[':izakaya_lantern:', ':lantern:']",http://emojipedia.org/izakaya-lantern/
1034,[],Umbrella on Ground,"An umbrella planted on the ground for shade protection, often at a beach or park.",â›± Umbrella on Ground,[],http://emojipedia.org/umbrella-on-ground/
1035,"['Pile Of Books Emoji', 'Stack Of Books Emoji']",Books,A stack of three books of different colors.,_Ÿ“_ Books,[':books:'],http://emojipedia.org/books/
1036,"['Magnify Emoji', 'Science Emoji']",Microscope,"A microscope, found in science labs for magnifying insects, rocks, or other smallÂ objects.",_Ÿ”¬ Microscope,[':microscope:'],http://emojipedia.org/microscope/
1037,"['Laughing Emoji', 'Laughing Crying Emoji', 'Laughing Tears Emoji', 'LOL Emoji']",Face With Tears of Joy,A laughing emojiÂ which atÂ small sizes is often mistaken for being tears of sadness.Â This emoji is laughing so much that it is crying tears of joy.,_Ÿ˜‚ Face With Tears of Joy,[':joy:'],http://emojipedia.org/face-with-tears-of-joy/
1038,"['AA Battery Emoji', 'Phone Battery Emoji']",Battery,"A battery, or battery indicator.",_Ÿ”‹ Battery,[':battery:'],http://emojipedia.org/battery/
1039,"['Flashlight Emoji', 'Torch Emoji']",Electric Torch,"A flashlight emoji, known as a torch outside of North America. Used when in the dark â€“ either when the electricity is out, or when camping.",_Ÿ”_ Electric Torch,[':flashlight:'],http://emojipedia.org/electric-torch/
1040,['TV Emoji'],Television,"A television set,Â used to displayÂ broadcasts over the air (terrestrial). Can also beÂ used as a screen for various input sources such as a cable box, console, or media streamer.",_Ÿ“º Television,[':tv:'],http://emojipedia.org/television/
1041,"['CD Emoji', 'CD ROM Emoji', 'Compact Disc Emoji']",Optical Disc,"A optical disc, of which the most common types are the CD and DVD.",_Ÿ’¿ Optical Disc,[':cd:'],http://emojipedia.org/optical-disc/
1042,"['Moneybags Emoji', 'Rich Emoji']",Money Bag,"A bag that is full of money. Most likely coins, given the shape of the bag. Has a dollar $ sign on it, so as to not confuse it with other bags.",_Ÿ’° Money Bag,[':moneybag:'],http://emojipedia.org/money-bag/
1043,"['Clamp Emoji', 'Table Vice Emoji', 'WinZip Emoji']",Compression,A metal C-clamp showing a screw which can be tightened to compress two objects (such as pieces of wood) together.,_Ÿ—œ Compression,[],http://emojipedia.org/compression/
1044,[],Thanksgiving,,"_Ÿ_ƒThanksgiving",[],http://emojipedia.org/thanksgiving/
1045,[],Sleeping Accommodation,"A symbol representing accommodation, such as a hostel, hotel, bed & breakfast, or other place to sleep.",_Ÿ›Œ Sleeping Accommodation,[],http://emojipedia.org/sleeping-accommodation/
1046,[],Pick,"The Pick emoji was approved as part of Unicode 5.2 in 2009.Copy and paste this emoji using the text field below:",â›è Pick,[],http://emojipedia.org/pick/
1047,"['Clairvoyant Emoji', 'Fortune Teller Emoji', 'Gypsy Emoji', 'Psychic Emoji', 'Purple Crystal Emoji', 'Shew Stone Emoji']",Crystal Ball,"A crystal ball, used byÂ aÂ clairvoyantÂ toÂ see information or inform a person of their future.",_Ÿ”® Crystal Ball,[':crystal_ball:'],http://emojipedia.org/crystal-ball/
1048,[],Dragon Boat Festival,,"_Ÿ‡¨_Ÿ‡_Dragon Boat Festival",[],http://emojipedia.org/dragon-boat-festival/
1049,[],Hourglass With Flowing Sand,"An hourglassÂ with sand flowing, representing the passage ofÂ time.",âè_ Hourglass With Flowing Sand,[':hourglass_flowing_sand:'],http://emojipedia.org/hourglass-with-flowing-sand/
1050,"['Gun Emoji', 'Revolver Emoji']",Pistol,"AÂ gun emoji, more precisely aÂ pistol. AÂ weapon that has potential to cause great harm. This type of firearm is commonly held by police officers.",_Ÿ”« Pistol,[':gun:'],http://emojipedia.org/pistol/
1051,"['Butchers Knife Emoji', 'Kitchen Knife Emoji', 'Knife Emoji']",Hocho,A versatile type of knifeÂ commonly foundÂ in kitchens in Japan. Generally used for cutting andÂ filleting meat and fish.,_Ÿ”ª Hocho,"[':hocho:', ':knife:']",http://emojipedia.org/hocho/
1052,"['Birthday Present Emoji', 'Christmas Present Emoji', 'Gift Emoji', 'Gift Box Emoji']",Wrapped Present,"A gift, wrapped with a variety ofÂ paper colors, and a ribbon and bow for decoration.",_Ÿ_Å Wrapped Present,[':gift:'],http://emojipedia.org/wrapped-present/
1053,"['Party Emoji', 'Red Balloon Emoji']",Balloon,"A single balloon, used for birthdays and other celebrations. Shown in red on most platforms, except Samsung and Microsoft that displayÂ a blue balloon.",_Ÿ_ˆ Balloon,[':balloon:'],http://emojipedia.org/balloon/
1054,"['Capsule Emoji', 'Drugs Emoji', 'Tablet Emoji']",Pill,"A type of pill, or capsule. Shown on most platforms as half red, half yellow. Notable exceptions include Android (blue), Windows (red and blue), and Samsung (white and blue capsule plus two smaller round pills).",_Ÿ’_ Pill,[':pill:'],http://emojipedia.org/pill/
1055,[],Oil Drum,"A barrell or drum that contains oil. The exterior of this cylinder is shown in blue, with two holes on the top.",_Ÿ›¢ Oil Drum,[],http://emojipedia.org/oil-drum/
1056,[],Bastille Day,,"_Ÿ‡«_Ÿ‡·Bastille Day",[],http://emojipedia.org/bastille-day/
1057,['Printed Page Emoji'],Page Facing Up,"A piece of paper, with the printed contents facing up.",_Ÿ“„ Page Facing Up,[':page_facing_up:'],http://emojipedia.org/page-facing-up/
1058,['Cutting Emoji'],Black Scissors,"A pair of âœ‚ scissors, used for cutting.",âœ‚ï¸è Black Scissors,[':scissors:'],http://emojipedia.org/black-scissors/
1059,"['Bolt Emoji', 'Screw Emoji']",Nut and Bolt,"A nutÂ shown withÂ a boltÂ (or screw), usually made of steel and shown with a silver/gray color on most platforms. The angle of the nut and bolt varies by vendor, but is most commonly displayed diagonally with the tip in the bottom right corner.",_Ÿ”© Nut and Bolt,[':nut_and_bolt:'],http://emojipedia.org/nut-and-bolt/
1060,"['Dropped Pin Emoji', 'Map Pin Emoji', 'Pin Emoji', 'Red Pin Emoji']",Round Pushpin,AÂ pin with a round plastic end. Most commonly used in mapping software to indicate a specific location.,_Ÿ“ç Round Pushpin,[':round_pushpin:'],http://emojipedia.org/round-pushpin/
1061,"['Flag on Pole Emoji', 'Red Flag Emoji']",Triangular Flag on Post,"A triangular red flag on a post.Â Most commonly associated with golf, as shownÂ in theÂ flag in hole emoji.",_Ÿ_© Triangular Flag on Post,[':triangular_flag_on_post:'],http://emojipedia.org/triangular-flag-on-post/
1062,['Newspaper Delivery Emoji'],Rolled-Up Newspaper,"A newspaper, rolled upÂ for delivery to a house.",_Ÿ—_ Rolled-Up Newspaper,[],http://emojipedia.org/rolled-up-newspaper/
1063,[],Postbox,"A postbox, where letters and other mail are posted, in order to be delivered.",_Ÿ“® Postbox,[':postbox:'],http://emojipedia.org/postbox/
1064,[],Chinese New Year,,"_Ÿê‰Chinese New Year",[],http://emojipedia.org/chinese-new-year/
1065,"['Digital Radio Emoji', 'Wireless Emoji']",Radio,"A traditional radio, with speaker grille, tuner controls and antenna.",_Ÿ“» Radio,[':radio:'],http://emojipedia.org/radio/
1066,['Inbox Emoji'],Inbox Tray,"An inbox tray,Â often used as an icon for an email inbox. A paper tray, with an arrow pointing down, into the tray.",_Ÿ“¥ Inbox Tray,[':inbox_tray:'],http://emojipedia.org/inbox-tray/
1067,[],Closed Mailbox With Raised Flag,"A closed mailbox, with the flag raised.",_Ÿ“« Closed Mailbox With Raised Flag,[':mailbox:'],http://emojipedia.org/closed-mailbox-with-raised-flag/
1068,[],Summer,,"â˜€Summer",[],http://emojipedia.org/summer/
1069,[],Spiral Calendar Pad,"The Spiral Calendar Pad emoji was approved as part of Unicode 7.0 in 2014.Copy and paste this emoji using the text field below:",_Ÿ—“ Spiral Calendar Pad,[],http://emojipedia.org/spiral-calendar-pad/
1070,['Camcorder Emoji'],Video Camera,"A consumer video camera, used to record home movies in the 1980s and 1990s.",_Ÿ“_ Video Camera,[':video_camera:'],http://emojipedia.org/video-camera/
1071,"['Rotary Phone Emoji', 'Telephone Emoji']",Black Telephone,"A traditional landline (home phone) telephone with a receiver on top of the base, where numbers are dialled.",â˜_ï¸è Black Telephone,"[':phone:', ':telephone:']",http://emojipedia.org/black-telephone/
1072,"['iMac Emoji', 'PC Tower Emoji']",Desktop Computer,"A desktop computer that is shown as a current-model iMac in Apple's artwork, and a PC tower case in the Emoji One image.",_Ÿ–¥ Desktop Computer,[],http://emojipedia.org/desktop-computer/
1073,"['Barber Shop Emoji', 'Barbers Stripes Emoji', 'Hairdresser Emoji']",Barber Pole,"A pole with red, white and blue stripes. Traditionally used by barbers out the front of their place of work. May beÂ used in parts of Asia to denote a brothel.",_Ÿ’ˆ Barber Pole,[':barber:'],http://emojipedia.org/barber-pole/
1074,"['3.5â€_ Disk Emoji', 'Disk Emoji']",Floppy Disk,"A popular form of transferring files in the 1980s and 1990s. This is the 3.5â€_ inch variant of the floppy disk, which had a hard outer shell.",_Ÿ’_ Floppy Disk,[':floppy_disk:'],http://emojipedia.org/floppy-disk/
1075,[],Crossed Swords,"The Crossed Swords emoji was approved as part of Unicode 4.1 in 2005.Copy and paste this emoji using the text field below:",â_” Crossed Swords,[],http://emojipedia.org/crossed-swords/
1076,[],Emoji Movie,,"_Ÿ_¥Emoji Movie",[],http://emojipedia.org/emoji-movie/
1077,['âœè Lead Pencil Emoji'],Pencil,"A pencil, used for writing or drawing.",âœèï¸è Pencil,[':pencil2:'],http://emojipedia.org/pencil/
1078,[],Birthday,,"_Ÿ_‚Birthday",[],http://emojipedia.org/birthday/
1079,[],World Map,"A map of planet earth, shown in Apple and Twitter'sÂ artwork to be a physical paper map with crease lines where it has been folded.",_Ÿ—º World Map,[],http://emojipedia.org/world-map/
1080,['Black And White Book Emoji'],Notebook,"A notebook, used for writingÂ notes.",_Ÿ““ Notebook,[':notebook:'],http://emojipedia.org/notebook/
1081,"['Folder Emoji', 'Manilla Folder Emoji']",File Folder,AÂ folder used to storeÂ files in a filing cabinet. Also used as an icon for a folder on most GUI operating systems.,_Ÿ“Å File Folder,[':file_folder:'],http://emojipedia.org/file-folder/
1082,"['Degree Emoji', 'Parchment Emoji']",Scroll,"An ancient scroll on papyrus,Â with shorter versions known as a roll.",_Ÿ“œ Scroll,[':scroll:'],http://emojipedia.org/scroll/
1083,[],Blue Book,"A blue book, which reads â€œVol. 3 by John Appleseedâ€ùÂ on the cover of Appleâ€™s artwork.",_Ÿ“˜ Blue Book,[':blue_book:'],http://emojipedia.org/blue-book/
1084,"['Memorandum Emoji', 'Note Emoji', 'Pencil And Paper Emoji']",Memo,A memorandum: a piece of paperÂ written toÂ used for communication in formal settings. Displayed as a piece of paper being written on with a pencil.,_Ÿ“ù Memo,"[':memo:', ':pencil:']",http://emojipedia.org/memo/
1085,[],Graduation,,"_Ÿ_“Graduation",[],http://emojipedia.org/graduation/
1086,[],Camera With Flash,"A point-and-shootÂ camera, used to take photos before the popularity of smartphones. Shown with a burst of light to display the flash going off.Â Similar to the camera emoji.",_Ÿ“¸ Camera With Flash,[],http://emojipedia.org/camera-with-flash/
1087,[],Bar Chart,A bar chart showing a comparison of figures or other data.,_Ÿ“_ Bar Chart,[':bar_chart:'],http://emojipedia.org/bar-chart/
1088,[],Easter,,"_Ÿê°Easter",[],http://emojipedia.org/easter/
1089,[],Level Slider,"The Level Slider emoji was approved as part of Unicode 7.0 in 2014.Copy and paste this emoji using the text field below:",_Ÿ__ Level Slider,[],http://emojipedia.org/level-slider/
1090,[],Travel & Places,,"_ŸŒ‡Travel & Places",[],http://emojipedia.org/travel-places/
1091,"['Idea Emoji', 'Light Bulb Emoji']",Electric Light Bulb,"A light bulb, used to light up a room. Can be usedÂ to indicate an idea when placed above a face.",_Ÿ’¡ Electric Light Bulb,[':bulb:'],http://emojipedia.org/electric-light-bulb/
1092,[],Cinco de Mayo,,"_Ÿ‡__Ÿ‡_Cinco de Mayo",[],http://emojipedia.org/cinco-de-mayo/
1093,"['Blood Donation Emoji', 'Blood Test Emoji', 'Needle Emoji', 'Vaccination Emoji']",Syringe,"A syringe, containing what appears to be blood. May be from a blood test at the hospital.",_Ÿ’‰ Syringe,[':syringe:'],http://emojipedia.org/syringe/
1094,"['Casket Emoji', 'Funeral Emoji']",Coffin,"A wooden coffin, used to store the body of a deceased person.",â_° Coffin,[],http://emojipedia.org/coffin/
1095,"['Blow A Kiss Emoji', 'Blowing Kiss Emoji', 'Kissing Emoji']",Face Throwing a Kiss,An emoji face blowing aÂ kiss;Â but officially called â€œFace Throwing A Kissâ€ù.,_Ÿ˜˜ Face Throwing a Kiss,[':kissing_heart:'],http://emojipedia.org/face-throwing-a-kiss/
1096,[],Candle,A candle burning with a red-orange-yellow flame. Some versions of this emoji display wax dripping down the side of the candle.,_Ÿ•¯ Candle,[],http://emojipedia.org/candle/
1097,"['Hot Weather Emoji', 'Temperature Emoji']",Thermometer,"A thermometer, used as a way to measure temperature. May be used in relation to weather (generally hot), or illness.",_ŸŒ¡ Thermometer,[],http://emojipedia.org/thermometer/
1098,[],Three Button Mouse,"A three button mouse, which can be used with a variety of desktop computers. Apple displays this emoji using an image of its own Magic Mouse productÂ which only has a single physical button.",_Ÿ–± Three Button Mouse,[],http://emojipedia.org/three-button-mouse/
1099,"['AC Adaptor Emoji', 'Power Cable Emoji', 'Power Plug Emoji']",Electric Plug,"A plug used to power a device in an electrical outlet. Shown asÂ a USA-style two-prong plug, used in numerous countries around the world.",_Ÿ”Œ Electric Plug,[':electric_plug:'],http://emojipedia.org/electric-plug/
1100,"['â‚¬100 Note Emoji', 'Euro Emoji']",Banknote With Euro Sign,"A Euro Banknote, used in many countriesÂ of the European Union. Commonly shown as the Hundred Euro (â‚¬100) note, or simplified toÂ display a Euro Symbol â‚¬.",_Ÿ’¶ Banknote With Euro Sign,[':euro:'],http://emojipedia.org/banknote-with-euro-sign/
1101,"['Flying Money Emoji', 'Losing Money Emoji']",Money With Wings,A pile of three cash notes (US Dollar Bills in the Apple artwork) with a money clip that has wings attached. The money is flying away.,_Ÿ’¸ Money With Wings,[':money_with_wings:'],http://emojipedia.org/money-with-wings/
1102,[],Motherâ€™s Day,,"_Ÿ‘©Motherâ€™s Day",[],http://emojipedia.org/mothers-day/
1103,"['Curled Page Emoji', 'Curly Page Emoji']",Page With Curl,"A printed page, curled at the bottom.",_Ÿ“ƒ Page With Curl,[':page_with_curl:'],http://emojipedia.org/page-with-curl/
1104,[],Food & Drink,,"_Ÿç”Food & Drink",[],http://emojipedia.org/food-drink/
1105,"['Cigarette Emoji', 'Smoke Emoji']",Smoking Symbol,"A cigaretteÂ with smoke showing at the end. Intended to be used a smoking symbol / sign, but displays as a lit cigarette on many platfotms.",_Ÿ_¬ Smoking Symbol,[':smoking:'],http://emojipedia.org/smoking-symbol/
1106,[],Gear,"The Gear emoji was approved as part of Unicode 4.1 in 2005.Copy and paste this emoji using the text field below:",â_™ Gear,[],http://emojipedia.org/gear/
1107,"['Index Card Emoji', 'Rolodex Emoji', 'System Card Emoji']",Card Index,"An index file containing a list of information on small, printed cards. Commonly used for displayingÂ contacts, and their contact details.",_Ÿ“‡ Card Index,[':card_index:'],http://emojipedia.org/card-index/
1108,"['Apple Times Emoji', 'Front Page Emoji', 'News Emoji']",Newspaper,A newspaper: how people read the news from the previous day prior widespread internet access.,_Ÿ“° Newspaper,[':newspaper:'],http://emojipedia.org/newspaper/
1109,[],Label,"The Label emoji was approved as part of Unicode 7.0 in 2014.Copy and paste this emoji using the text field below:",_Ÿè· Label,[],http://emojipedia.org/label/
1110,['âœ‰ Letter Emoji'],Envelope,"A envelope, used to post letters and cards.",âœ‰ï¸è Envelope,"[':email:', ':envelope:']",http://emojipedia.org/envelope/
1111,[],Hanukkah,,"_Ÿ•_Hanukkah",[],http://emojipedia.org/hanukkah/
1112,[],Keyboard,"The Keyboard emoji was approved as part of Unicode 1.1 in 1993.Copy and paste this emoji using the text field below:",âŒ¨ Keyboard,[],http://emojipedia.org/keyboard/
1113,"['Beeper Emoji', 'Bleeper Emoji']",Pager,"A device popular before the use of mobile phones, used to inform a person that you wish to speak to them. Today only used in specialty areas, such as hospitals.",_Ÿ“Ÿ Pager,[':pager:'],http://emojipedia.org/pager/
1114,[],Activity,,"â__Activity",[],http://emojipedia.org/activity/
1115,[],World Emoji Day,,"_ŸŒ_World Emoji Day",[],http://emojipedia.org/world-emoji-day/
1116,[],Lower Left Ballpoint Pen,"The Lower Left Ballpoint Pen emoji was approved as part of Unicode 7.0 in 2014.Copy and paste this emoji using the text field below:",_Ÿ–_ Lower Left Ballpoint Pen,[],http://emojipedia.org/lower-left-ballpoint-pen/
1117,"['Vote Box Emoji', 'Voting Emoji']",Ballot Box With Ballot,A ballot box shown with a slot on the top for voting purposes. A ballot is shown being inserted into the box.,_Ÿ—_ Ballot Box With Ballot,[],http://emojipedia.org/ballot-box-with-ballot/
1118,"['Flirting Emoji', 'Sexual Face Emoji', 'Smug Face Emoji', 'Suggestive Smile Emoji']",Smirking Face,"A sly smile, often used with a sexual, or smug connotation. Not to be confused with the unamused face, which has similar eyes, but a displeased mouth.",_Ÿ˜è Smirking Face,[':smirk:'],http://emojipedia.org/smirking-face/
1119,[],Black Friday,,"_Ÿ›çBlack Friday",[],http://emojipedia.org/black-friday/
1120,"['Day Calendar Emoji', 'Desk Calendar Emoji']",Tear-Off Calendar,"A tear-off calendar, featuring a single day, with ring-binders across the top for changing dates. Not to be confused with the Calendar Emoji which does not feature ring binders.",_Ÿ“† Tear-Off Calendar,[':calendar:'],http://emojipedia.org/tear-off-calendar/
1121,"['Dhikr Beads Emoji', 'Rosary Beads Emoji']",Prayer Beads,Prayer beads used by people of various religious traditions.,_Ÿ“¿ Prayer Beads,[],http://emojipedia.org/prayer-beads/
1122,['Stargazing Emoji'],Telescope,"A telescope,Â used to view closer detail of stars and other objects in the night sky.",_Ÿ”_ Telescope,[':telescope:'],http://emojipedia.org/telescope/
1123,[],Super Bowl,,"_ŸèˆSuper Bowl",[],http://emojipedia.org/super-bowl/
1124,['Two Flags Emoji'],Crossed Flags,"Two Japanese Flags, crossed at the base. Except on Samsung devices, which display two South Korean flags.",_Ÿ_Œ Crossed Flags,[':crossed_flags:'],http://emojipedia.org/crossed-flags/
1125,[],Animals & Nature,,"_Ÿê»Animals & Nature",[],http://emojipedia.org/nature/
1126,[],Objects,,"_Ÿ’¡Objects",[],http://emojipedia.org/objects/
